Listing of Huygens PSF Data

File : E:\Lenses\T170\БКП новый\Simple_3CCD-1.zmx
Title: T-170M: detector center 21 mm off axis
Date : 08.09.2015


Huygens PSF

Data spacing is 0.500 µm.
Data area is 64.000 by 64.000 µm.
Strehl ratio: 0.222
Pupil grid size: 256 by 256
Image grid size: 128 by 128
Center point is: 65, 65
Center coordinates  :  2.50000529E+000,  2.40001243E+001 Millimeters
Centroid offset     : -1.30659015E-007, -2.78304295E-006 Millimeters
Centroid coordinates:  2.50000516E+000,  2.40001215E+001 Millimeters
Values are relative intensity.

 1.0963E-005	 1.6743E-005	 1.7218E-005	 1.1811E-005	 4.2874E-006	 9.8388E-008	 2.6535E-006	 1.1094E-005	 2.0942E-005	 2.6990E-005	 2.6441E-005	 2.0332E-005	 1.2562E-005	 7.3398E-006	 6.7177E-006	 9.6448E-006	 1.2946E-005	 1.3498E-005	 1.0261E-005	 4.9962E-006	 1.3384E-006	 2.7803E-006	 1.0717E-005	 2.3570E-005	 3.7379E-005	 4.7491E-005	 5.0470E-005	 4.5395E-005	 3.4077E-005	 2.0291E-005	 8.4207E-006	 2.0627E-006	 3.0049E-006	 1.0831E-005	 2.3193E-005	 3.6620E-005	 4.7591E-005	 5.3527E-005	 5.3383E-005	 4.7714E-005	 3.8248E-005	 2.7212E-005	 1.6689E-005	 8.2085E-006	 2.6224E-006	 1.9474E-007	 7.6932E-007	 3.9241E-006	 9.0797E-006	 1.5580E-005	 2.2774E-005	 3.0093E-005	 3.7112E-005	 4.3568E-005	 4.9323E-005	 5.4288E-005	 5.8367E-005	 6.1438E-005	 6.3402E-005	 6.4276E-005	 6.4252E-005	 6.3702E-005	 6.3099E-005	 6.2900E-005	 6.3430E-005	 6.4809E-005	 6.6926E-005	 6.9464E-005	 7.1986E-005	 7.4045E-005	 7.5317E-005	 7.5662E-005	 7.5103E-005	 7.3720E-005	 7.1504E-005	 6.8275E-005	 6.3704E-005	 5.7461E-005	 4.9419E-005	 3.9834E-005	 2.9395E-005	 1.9129E-005	 1.0193E-005	 3.6485E-006	 3.2118E-007	 7.2751E-007	 5.0248E-006	 1.2892E-005	 2.3341E-005	 3.4580E-005	 4.4136E-005	 4.9384E-005	 4.8422E-005	 4.0976E-005	 2.8863E-005	 1.5678E-005	 5.6696E-006	 2.2452E-006	 6.7081E-006	 1.7763E-005	 3.1956E-005	 4.4840E-005	 5.2412E-005	 5.2376E-005	 4.4864E-005	 3.2375E-005	 1.8864E-005	 8.2108E-006	 2.6377E-006	 1.8442E-006	 3.4231E-006	 4.4586E-006	 3.4569E-006	 1.4115E-006	 1.2112E-006	 5.6112E-006	 1.4984E-005	 2.6370E-005	 3.4670E-005	 3.5465E-005	 2.7840E-005	 1.5354E-005	 4.3230E-006	 2.4269E-007	 4.4984E-006	 1.3505E-005	 2.0992E-005	 2.2044E-005
 1.5985E-005	 1.6858E-005	 1.1657E-005	 4.1668E-006	 7.1864E-008	 2.8990E-006	 1.1586E-005	 2.1275E-005	 2.6588E-005	 2.5029E-005	 1.8297E-005	 1.0853E-005	 6.9309E-006	 7.9844E-006	 1.2094E-005	 1.5500E-005	 1.5149E-005	 1.0688E-005	 4.7872E-006	 1.6767E-006	 4.7828E-006	 1.4743E-005	 2.8840E-005	 4.2110E-005	 4.9547E-005	 4.8299E-005	 3.8867E-005	 2.4816E-005	 1.1273E-005	 2.9518E-006	 2.5376E-006	 9.9751E-006	 2.2764E-005	 3.6987E-005	 4.8624E-005	 5.4703E-005	 5.3998E-005	 4.7130E-005	 3.6147E-005	 2.3779E-005	 1.2637E-005	 4.5985E-006	 5.4299E-007	 4.1134E-007	 3.4949E-006	 8.7846E-006	 1.5255E-005	 2.2034E-005	 2.8465E-005	 3.4123E-005	 3.8795E-005	 4.2461E-005	 4.5247E-005	 4.7354E-005	 4.8982E-005	 5.0255E-005	 5.1195E-005	 5.1741E-005	 5.1815E-005	 5.1400E-005	 5.0591E-005	 4.9602E-005	 4.8720E-005	 4.8240E-005	 4.8393E-005	 4.9298E-005	 5.0934E-005	 5.3138E-005	 5.5651E-005	 5.8189E-005	 6.0537E-005	 6.2620E-005	 6.4508E-005	 6.6342E-005	 6.8199E-005	 6.9956E-005	 7.1217E-005	 7.1366E-005	 6.9727E-005	 6.5791E-005	 5.9389E-005	 5.0762E-005	 4.0508E-005	 2.9472E-005	 1.8675E-005	 9.2967E-006	 2.6552E-006	 6.9161E-008	 2.5071E-006	 1.0080E-005	 2.1597E-005	 3.4483E-005	 4.5286E-005	 5.0717E-005	 4.8858E-005	 4.0028E-005	 2.6873E-005	 1.3586E-005	 4.5405E-006	 2.8411E-006	 9.2654E-006	 2.1931E-005	 3.6792E-005	 4.8884E-005	 5.4009E-005	 5.0313E-005	 3.9105E-005	 2.4379E-005	 1.1099E-005	 2.9594E-006	 7.6315E-007	 2.3745E-006	 4.3302E-006	 4.1993E-006	 2.2312E-006	 1.1819E-006	 4.3164E-006	 1.2798E-005	 2.4216E-005	 3.3416E-005	 3.5392E-005	 2.8540E-005	 1.6111E-005	 4.6498E-006	 1.4771E-007	 4.2868E-006	 1.3356E-005	 2.0741E-005
 1.6227E-005	 1.1456E-005	 4.1454E-006	 7.6840E-008	 2.9192E-006	 1.1569E-005	 2.0967E-005	 2.5640E-005	 2.3349E-005	 1.6325E-005	 9.4633E-006	 6.9221E-006	 9.5125E-006	 1.4486E-005	 1.7636E-005	 1.6179E-005	 1.0603E-005	 4.4334E-006	 2.2134E-006	 6.9050E-006	 1.8144E-005	 3.2209E-005	 4.3658E-005	 4.7812E-005	 4.2879E-005	 3.0779E-005	 1.6333E-005	 5.2429E-006	 1.7976E-006	 7.2969E-006	 1.9769E-005	 3.4954E-005	 4.8001E-005	 5.5136E-005	 5.4710E-005	 4.7375E-005	 3.5535E-005	 2.2382E-005	 1.0908E-005	 3.1952E-006	 8.9155E-008	 1.2805E-006	 5.6543E-006	 1.1754E-005	 1.8200E-005	 2.3972E-005	 2.8509E-005	 3.1675E-005	 3.3645E-005	 3.4769E-005	 3.5459E-005	 3.6105E-005	 3.7011E-005	 3.8365E-005	 4.0219E-005	 4.2499E-005	 4.5030E-005	 4.7584E-005	 4.9926E-005	 5.1861E-005	 5.3270E-005	 5.4124E-005	 5.4485E-005	 5.4489E-005	 5.4315E-005	 5.4145E-005	 5.4109E-005	 5.4248E-005	 5.4501E-005	 5.4734E-005	 5.4803E-005	 5.4646E-005	 5.4341E-005	 5.4116E-005	 5.4286E-005	 5.5119E-005	 5.6693E-005	 5.8810E-005	 6.1014E-005	 6.2701E-005	 6.3261E-005	 6.2179E-005	 5.9071E-005	 5.3678E-005	 4.5923E-005	 3.6046E-005	 2.4833E-005	 1.3753E-005	 4.8714E-006	 3.8300E-007	 1.8645E-006	 9.4941E-006	 2.1627E-005	 3.5014E-005	 4.5697E-005	 5.0289E-005	 4.7170E-005	 3.7163E-005	 2.3415E-005	 1.0510E-005	 3.0275E-006	 3.9476E-006	 1.3414E-005	 2.8389E-005	 4.3519E-005	 5.3094E-005	 5.3386E-005	 4.4300E-005	 2.9439E-005	 1.4395E-005	 4.0615E-006	 3.5543E-007	 1.6459E-006	 4.2062E-006	 4.8418E-006	 3.0660E-006	 1.3966E-006	 3.4783E-006	 1.1167E-005	 2.2542E-005	 3.2397E-005	 3.5217E-005	 2.8863E-005	 1.6429E-005	 4.7265E-006	 9.3669E-008	 4.2726E-006	 1.3287E-005
 1.1321E-005	 4.2323E-006	 1.1419E-007	 2.7914E-006	 1.1222E-005	 2.0258E-005	 2.4377E-005	 2.1537E-005	 1.4409E-005	 8.2429E-006	 7.1023E-006	 1.1167E-005	 1.6883E-005	 1.9639E-005	 1.7008E-005	 1.0398E-005	 4.1961E-006	 3.0983E-006	 9.3252E-006	 2.1290E-005	 3.4321E-005	 4.2913E-005	 4.3320E-005	 3.5265E-005	 2.2070E-005	 9.2472E-006	 2.1955E-006	 4.0148E-006	 1.4322E-005	 2.9517E-005	 4.4312E-005	 5.3803E-005	 5.5207E-005	 4.8597E-005	 3.6491E-005	 2.2646E-005	 1.0657E-005	 2.9151E-006	 1.9531E-007	 1.8523E-006	 6.3728E-006	 1.2011E-005	 1.7294E-005	 2.1309E-005	 2.3765E-005	 2.4902E-005	 2.5304E-005	 2.5689E-005	 2.6720E-005	 2.8869E-005	 3.2347E-005	 3.7108E-005	 4.2908E-005	 4.9387E-005	 5.6157E-005	 6.2861E-005	 6.9201E-005	 7.4941E-005	 7.9885E-005	 8.3873E-005	 8.6786E-005	 8.8570E-005	 8.9268E-005	 8.9039E-005	 8.8136E-005	 8.6859E-005	 8.5480E-005	 8.4161E-005	 8.2909E-005	 8.1566E-005	 7.9855E-005	 7.7479E-005	 7.4238E-005	 7.0139E-005	 6.5436E-005	 6.0584E-005	 5.6117E-005	 5.2512E-005	 5.0078E-005	 4.8936E-005	 4.9020E-005	 5.0093E-005	 5.1714E-005	 5.3180E-005	 5.3522E-005	 5.1637E-005	 4.6612E-005	 3.8172E-005	 2.7083E-005	 1.5265E-005	 5.4508E-006	 4.0311E-007	 1.9225E-006	 1.0036E-005	 2.2714E-005	 3.6286E-005	 4.6492E-005	 4.9852E-005	 4.4956E-005	 3.3197E-005	 1.8593E-005	 6.5833E-006	 2.0408E-006	 7.2230E-006	 2.0553E-005	 3.6960E-005	 4.9847E-005	 5.3922E-005	 4.7582E-005	 3.3600E-005	 1.7688E-005	 5.6135E-006	 3.9769E-007	 1.1260E-006	 4.0648E-006	 5.4082E-006	 3.9449E-006	 1.8782E-006	 3.1291E-006	 1.0144E-005	 2.1414E-005	 3.1666E-005	 3.4968E-005	 2.8826E-005	 1.6333E-005	 4.5743E-006	 7.4296E-008	 4.4282E-006
 4.5049E-006	 1.9931E-007	 2.5444E-006	 1.0657E-005	 1.9369E-005	 2.3087E-005	 1.9876E-005	 1.2737E-005	 7.2433E-006	 7.4130E-006	 1.2886E-005	 1.9355E-005	 2.1787E-005	 1.8059E-005	 1.0481E-005	 4.3124E-006	 4.3901E-006	 1.2112E-005	 2.4560E-005	 3.6100E-005	 4.1359E-005	 3.7885E-005	 2.7221E-005	 1.4083E-005	 4.2175E-006	 1.9976E-006	 8.7084E-006	 2.2139E-005	 3.7535E-005	 4.9486E-005	 5.3977E-005	 4.9786E-005	 3.8720E-005	 2.4645E-005	 1.1842E-005	 3.4346E-006	 5.2343E-007	 2.2499E-006	 6.5780E-006	 1.1309E-005	 1.4874E-005	 1.6680E-005	 1.7017E-005	 1.6741E-005	 1.6892E-005	 1.8415E-005	 2.1977E-005	 2.7882E-005	 3.6053E-005	 4.6051E-005	 5.7166E-005	 6.8547E-005	 7.9371E-005	 8.8989E-005	 9.7018E-005	 1.0334E-004	 1.0805E-004	 1.1133E-004	 1.1337E-004	 1.1433E-004	 1.1430E-004	 1.1341E-004	 1.1184E-004	 1.0985E-004	 1.0778E-004	 1.0599E-004	 1.0479E-004	 1.0437E-004	 1.0469E-004	 1.0551E-004	 1.0637E-004	 1.0667E-004	 1.0580E-004	 1.0329E-004	 9.8906E-005	 9.2707E-005	 8.5031E-005	 7.6409E-005	 6.7479E-005	 5.8927E-005	 5.1446E-005	 4.5691E-005	 4.2185E-005	 4.1149E-005	 4.2304E-005	 4.4733E-005	 4.6930E-005	 4.7120E-005	 4.3815E-005	 3.6454E-005	 2.5843E-005	 1.4193E-005	 4.6048E-006	 1.3039E-007	 2.6626E-006	 1.2051E-005	 2.5806E-005	 3.9624E-005	 4.8713E-005	 4.9554E-005	 4.1470E-005	 2.7260E-005	 1.2434E-005	 3.1388E-006	 3.5435E-006	 1.3838E-005	 2.9894E-005	 4.4911E-005	 5.2416E-005	 4.9230E-005	 3.6897E-005	 2.0805E-005	 7.3546E-006	 6.8296E-007	 7.5764E-007	 3.9952E-006	 6.0472E-006	 4.9782E-006	 2.6534E-006	 3.2305E-006	 9.6718E-006	 2.0785E-005	 3.1192E-005	 3.4628E-005	 2.8421E-005	 1.5820E-005	 4.1864E-006	 8.7955E-008
 3.5158E-007	 2.1628E-006	 9.8748E-006	 1.8365E-005	 2.1918E-005	 1.8564E-005	 1.1501E-005	 6.5806E-006	 7.8687E-006	 1.4618E-005	 2.1868E-005	 2.4139E-005	 1.9480E-005	 1.0969E-005	 4.7100E-006	 5.7703E-006	 1.4844E-005	 2.7746E-005	 3.7880E-005	 4.0002E-005	 3.3003E-005	 2.0307E-005	 7.9560E-006	 1.6617E-006	 4.3341E-006	 1.5094E-005	 2.9916E-005	 4.3390E-005	 5.0809E-005	 4.9818E-005	 4.1089E-005	 2.7862E-005	 1.4548E-005	 4.9874E-006	 1.0834E-006	 2.3564E-006	 6.5409E-006	 1.0848E-005	 1.3243E-005	 1.3178E-005	 1.1557E-005	 1.0122E-005	 1.0657E-005	 1.4393E-005	 2.1763E-005	 3.2473E-005	 4.5730E-005	 6.0466E-005	 7.5493E-005	 8.9625E-005	 1.0178E-004	 1.1113E-004	 1.1719E-004	 1.1992E-004	 1.1970E-004	 1.1718E-004	 1.1310E-004	 1.0815E-004	 1.0283E-004	 9.7474E-005	 9.2281E-005	 8.7409E-005	 8.3030E-005	 7.9359E-005	 7.6654E-005	 7.5177E-005	 7.5152E-005	 7.6706E-005	 7.9832E-005	 8.4345E-005	 8.9874E-005	 9.5883E-005	 1.0172E-004	 1.0670E-004	 1.1018E-004	 1.1165E-004	 1.1078E-004	 1.0738E-004	 1.0148E-004	 9.3262E-005	 8.3181E-005	 7.1962E-005	 6.0634E-005	 5.0435E-005	 4.2589E-005	 3.7968E-005	 3.6724E-005	 3.8061E-005	 4.0284E-005	 4.1216E-005	 3.8907E-005	 3.2436E-005	 2.2500E-005	 1.1488E-005	 2.8790E-006	 4.9993E-008	 4.8529E-006	 1.6540E-005	 3.1594E-005	 4.4743E-005	 5.0915E-005	 4.7422E-005	 3.5366E-005	 1.9525E-005	 6.5638E-006	 2.2045E-006	 8.5903E-006	 2.3099E-005	 3.9316E-005	 4.9887E-005	 4.9983E-005	 3.9641E-005	 2.3678E-005	 9.0471E-006	 1.0474E-006	 5.7783E-007	 4.1910E-006	 6.9630E-006	 6.2562E-006	 3.6733E-006	 3.6531E-006	 9.6129E-006	 2.0547E-005	 3.0893E-005	 3.4125E-005	 2.7583E-005	 1.4834E-005	 3.5359E-006
 1.6454E-006	 8.8304E-006	 1.7186E-005	 2.0827E-005	 1.7594E-005	 1.0719E-005	 6.2752E-006	 8.4510E-006	 1.6282E-005	 2.4298E-005	 2.6574E-005	 2.1171E-005	 1.1730E-005	 5.0988E-006	 6.6801E-006	 1.6727E-005	 3.0041E-005	 3.9158E-005	 3.8857E-005	 2.9162E-005	 1.5155E-005	 4.0423E-006	 1.3586E-006	 8.4394E-006	 2.2215E-005	 3.7023E-005	 4.7232E-005	 4.9418E-005	 4.3339E-005	 3.1600E-005	 1.8388E-005	 7.8074E-006	 2.4202E-006	 2.4701E-006	 6.0641E-006	 1.0228E-005	 1.2371E-005	 1.1492E-005	 8.5874E-006	 6.1112E-006	 6.8330E-006	 1.2675E-005	 2.4051E-005	 3.9892E-005	 5.8187E-005	 7.6683E-005	 9.3419E-005	 1.0697E-004	 1.1647E-004	 1.2147E-004	 1.2192E-004	 1.1814E-004	 1.1080E-004	 1.0086E-004	 8.9474E-005	 7.7754E-005	 6.6586E-005	 5.6527E-005	 4.7807E-005	 4.0429E-005	 3.4297E-005	 2.9313E-005	 2.5418E-005	 2.2599E-005	 2.0868E-005	 2.0261E-005	 2.0832E-005	 2.2652E-005	 2.5793E-005	 3.0313E-005	 3.6231E-005	 4.3503E-005	 5.2002E-005	 6.1493E-005	 7.1621E-005	 8.1907E-005	 9.1751E-005	 1.0044E-004	 1.0716E-004	 1.1107E-004	 1.1140E-004	 1.0760E-004	 9.9555E-005	 8.7822E-005	 7.3678E-005	 5.9048E-005	 4.6141E-005	 3.6872E-005	 3.2216E-005	 3.1740E-005	 3.3573E-005	 3.4951E-005	 3.3258E-005	 2.7206E-005	 1.7643E-005	 7.5213E-006	 8.8357E-007	 1.1556E-006	 9.4485E-006	 2.3669E-005	 3.8971E-005	 4.9521E-005	 5.0926E-005	 4.2305E-005	 2.7011E-005	 1.1523E-005	 2.7676E-006	 4.9394E-006	 1.7291E-005	 3.4137E-005	 4.7374E-005	 5.0484E-005	 4.1950E-005	 2.6055E-005	 1.0381E-005	 1.3695E-006	 6.8856E-007	 4.8332E-006	 8.2412E-006	 7.6983E-006	 4.7445E-006	 4.1891E-006	 9.8030E-006	 2.0572E-005	 3.0646E-005	 3.3329E-005	 2.6194E-005	 1.3312E-005
 7.5388E-006	 1.5774E-005	 1.9697E-005	 1.6813E-005	 1.0232E-005	 6.1874E-006	 9.0514E-006	 1.7780E-005	 2.6522E-005	 2.8936E-005	 2.2975E-005	 1.2624E-005	 5.3082E-006	 6.8043E-006	 1.7201E-005	 3.0663E-005	 3.9103E-005	 3.7270E-005	 2.5972E-005	 1.1514E-005	 1.9393E-006	 2.5214E-006	 1.3161E-005	 2.8878E-005	 4.2715E-005	 4.9166E-005	 4.6366E-005	 3.6267E-005	 2.3178E-005	 1.1673E-005	 4.8421E-006	 3.4223E-006	 5.9277E-006	 9.5705E-006	 1.1603E-005	 1.0604E-005	 7.2093E-006	 3.9605E-006	 4.2763E-006	 1.0986E-005	 2.5083E-005	 4.5258E-005	 6.8373E-005	 9.0573E-005	 1.0848E-004	 1.1999E-004	 1.2443E-004	 1.2229E-004	 1.1469E-004	 1.0302E-004	 8.8683E-005	 7.3034E-005	 5.7360E-005	 4.2826E-005	 3.0358E-005	 2.0513E-005	 1.3402E-005	 8.7395E-006	 5.9935E-006	 4.5809E-006	 4.0169E-006	 3.9686E-006	 4.2229E-006	 4.6219E-006	 5.0214E-006	 5.2920E-006	 5.3492E-006	 5.1848E-006	 4.8858E-006	 4.6435E-006	 4.7569E-006	 5.6260E-006	 7.7241E-006	 1.1543E-005	 1.7515E-005	 2.5932E-005	 3.6864E-005	 5.0082E-005	 6.4996E-005	 8.0600E-005	 9.5470E-005	 1.0785E-004	 1.1584E-004	 1.1779E-004	 1.1276E-004	 1.0095E-004	 8.4007E-005	 6.4868E-005	 4.7107E-005	 3.3896E-005	 2.6906E-005	 2.5629E-005	 2.7518E-005	 2.9010E-005	 2.7093E-005	 2.0749E-005	 1.1593E-005	 3.3131E-006	 9.0887E-008	 4.6220E-006	 1.6603E-005	 3.2407E-005	 4.6228E-005	 5.2372E-005	 4.7858E-005	 3.4159E-005	 1.7096E-005	 4.5491E-006	 2.7488E-006	 1.2889E-005	 3.0041E-005	 4.5372E-005	 5.0798E-005	 4.3503E-005	 2.7506E-005	 1.1086E-005	 1.6113E-006	 1.1545E-006	 5.9036E-006	 9.7007E-006	 9.0237E-006	 5.6056E-006	 4.6609E-006	 1.0125E-005	 2.0741E-005	 3.0303E-005	 3.2094E-005	 2.4180E-005
 1.4168E-005	 1.8484E-005	 1.6084E-005	 9.8221E-006	 6.0665E-006	 9.4605E-006	 1.8992E-005	 2.8492E-005	 3.1188E-005	 2.4842E-005	 1.3639E-005	 5.4379E-006	 6.3451E-006	 1.6441E-005	 2.9588E-005	 3.7407E-005	 3.4709E-005	 2.2829E-005	 8.7865E-006	 9.9880E-007	 4.3278E-006	 1.7477E-005	 3.4047E-005	 4.6285E-005	 4.9116E-005	 4.2256E-005	 2.9597E-005	 1.6702E-005	 7.9988E-006	 5.1045E-006	 6.7543E-006	 9.9855E-006	 1.1794E-005	 1.0543E-005	 6.6933E-006	 2.6992E-006	 2.1426E-006	 8.3616E-006	 2.3038E-005	 4.5292E-005	 7.1699E-005	 9.7290E-005	 1.1712E-004	 1.2773E-004	 1.2802E-004	 1.1910E-004	 1.0354E-004	 8.4411E-005	 6.4472E-005	 4.5806E-005	 2.9804E-005	 1.7319E-005	 8.8120E-006	 4.4067E-006	 3.8684E-006	 6.5925E-006	 1.1668E-005	 1.8037E-005	 2.4712E-005	 3.0961E-005	 3.6380E-005	 4.0847E-005	 4.4381E-005	 4.7012E-005	 4.8709E-005	 4.9382E-005	 4.8920E-005	 4.7229E-005	 4.4255E-005	 4.0002E-005	 3.4568E-005	 2.8201E-005	 2.1336E-005	 1.4613E-005	 8.8502E-006	 4.9850E-006	 3.9851E-006	 6.7348E-006	 1.3896E-005	 2.5736E-005	 4.1938E-005	 6.1407E-005	 8.2161E-005	 1.0140E-004	 1.1585E-004	 1.2252E-004	 1.1954E-004	 1.0702E-004	 8.7350E-005	 6.4754E-005	 4.4083E-005	 2.9220E-005	 2.1755E-005	 2.0518E-005	 2.2239E-005	 2.3069E-005	 2.0352E-005	 1.3860E-005	 5.9795E-006	 7.0378E-007	 1.8037E-006	 1.0856E-005	 2.5980E-005	 4.2004E-005	 5.2318E-005	 5.1916E-005	 4.0260E-005	 2.2334E-005	 6.7918E-006	 1.6812E-006	 9.8832E-006	 2.7051E-005	 4.3689E-005	 5.0502E-005	 4.3847E-005	 2.7756E-005	 1.1106E-005	 1.7883E-006	 1.8788E-006	 7.1363E-006	 1.1005E-005	 9.9706E-006	 6.1337E-006	 5.0336E-006	 1.0533E-005	 2.0952E-005	 2.9739E-005	 3.0368E-005
 1.7244E-005	 1.5419E-005	 9.3999E-006	 5.7005E-006	 9.4110E-006	 1.9723E-005	 3.0172E-005	 3.3426E-005	 2.6908E-005	 1.4921E-005	 5.7350E-006	 5.7905E-006	 1.5199E-005	 2.7652E-005	 3.4698E-005	 3.1388E-005	 1.9529E-005	 6.5286E-006	 7.3056E-007	 6.3268E-006	 2.0969E-005	 3.7348E-005	 4.7500E-005	 4.7117E-005	 3.7397E-005	 2.3719E-005	 1.2293E-005	 6.9170E-006	 7.5482E-006	 1.1097E-005	 1.3625E-005	 1.2587E-005	 8.0705E-006	 2.6918E-006	 4.4844E-007	 5.1243E-006	 1.8815E-005	 4.0996E-005	 6.8400E-005	 9.5773E-005	 1.1733E-004	 1.2848E-004	 1.2717E-004	 1.1434E-004	 9.3430E-005	 6.9069E-005	 4.5677E-005	 2.6457E-005	 1.3049E-005	 5.7686E-006	 4.1160E-006	 7.2323E-006	 1.4156E-005	 2.3883E-005	 3.5348E-005	 4.7429E-005	 5.9034E-005	 6.9257E-005	 7.7528E-005	 8.3690E-005	 8.7959E-005	 9.0772E-005	 9.2604E-005	 9.3822E-005	 9.4632E-005	 9.5096E-005	 9.5181E-005	 9.4776E-005	 9.3680E-005	 9.1598E-005	 8.8157E-005	 8.2986E-005	 7.5812E-005	 6.6579E-005	 5.5522E-005	 4.3226E-005	 3.0621E-005	 1.8950E-005	 9.6951E-006	 4.4633E-006	 4.7988E-006	 1.1874E-005	 2.6053E-005	 4.6415E-005	 7.0451E-005	 9.4185E-005	 1.1289E-004	 1.2232E-004	 1.2009E-004	 1.0662E-004	 8.5221E-005	 6.1080E-005	 3.9607E-005	 2.4649E-005	 1.7353E-005	 1.6071E-005	 1.7332E-005	 1.7469E-005	 1.4305E-005	 8.2446E-006	 2.2687E-006	 6.4159E-007	 6.6627E-006	 2.0390E-005	 3.7635E-005	 5.1222E-005	 5.4394E-005	 4.4786E-005	 2.6566E-005	 8.9412E-006	 1.3543E-006	 7.9364E-006	 2.4746E-005	 4.1851E-005	 4.9245E-005	 4.2896E-005	 2.6949E-005	 1.0611E-005	 1.8975E-006	 2.6536E-006	 8.2591E-006	 1.1993E-005	 1.0553E-005	 6.4396E-006	 5.3866E-006	 1.1016E-005	 2.1144E-005	 2.8953E-005
